iter	Passed	Remaining
872	84286	2606
873	84367	2509
874	84457	2413
875	84552	2316
876	84646	2219
877	84745	2123
878	84834	2026
879	84923	1930
880	85010	1833
881	85116	1737
882	85202	1640
883	85300	1543
884	85397	1447
885	85497	1350
886	85582	1254
887	85669	1157
888	85766	1061
889	85858	964
890	85952	868
891	86035	771
892	86125	675
893	86218	578
894	86325	482
895	86414	385
896	86505	289
897	86587	192
898	86674	96
899	86765	0
